Nome_Estabelecimento,Place_ID_Estabelecimento,Endereço_Estabelecimento,Residência Parceira,Categoria,Busca_Tipo,Busca_Keyword,Latitude_Estabelecimento,Longitude_Estabelecimento,Tipos_API
Power Academia,ChIJIypt_FvdrAcRlcqyEQJ0su8,"Av. Silvino Chaves, 346 - Manaíra, João Pessoa",Manaíra Palace Residence,Lazer/Fitness,gym,academia,-7.1106129,-34.8328681,"['gym', 'health', 'point_of_interest', 'establishment']"
AR FITNESS,ChIJ0beWfz3drAcRSF08feOJcD4,"Av. Manoel Morais, 453 - Manaíra, João Pessoa",Manaíra Palace Residence,Lazer/Fitness,gym,academia,-7.1080548,-34.83195480000001,"['gym', 'health', 'point_of_interest', 'establishment']"
Science Academia,ChIJLWdYfyPdrAcRXTlfhNnRM5c,"Av. Infante Dom Henrique, n° 40 - Tambaú, João Pessoa",Manaíra Palace Residence,Lazer/Fitness,gym,academia,-7.1120325,-34.8270942,"['gym', 'health', 'point_of_interest', 'establishment']"
Em breve: Academia Smart Fit - Av. João Câncio,ChIJAWe9a0LdrAcRBXMaFP0-3J8,"Av. João Câncio da Silva, 635 - Manaíra, João Pessoa",Manaíra Palace Residence,Lazer/Fitness,gym,academia,-7.1089892,-34.83297090000001,"['gym', 'health', 'point_of_interest', 'establishment']"
Sbelt Gym,ChIJ3zCA0R3drAcRRWfkug4D0Jo,"Av. Esperança, 305 - Manaíra, João Pessoa",Manaíra Palace Residence,Lazer/Fitness,gym,academia,-7.1100723,-34.8300547,"['gym', 'health', 'point_of_interest', 'establishment']"
Life Pilates,ChIJD9oPjRfdrAcR-YaZNVR5tHw,"Av. Guarabira, 200 - Manaíra, João Pessoa",Manaíra Palace Residence,Lazer/Fitness,gym,academia,-7.107032599999999,-34.8297967,"['gym', 'health', 'point_of_interest', 'establishment']"
Evolve Manaíra,ChIJgQFr1r3drAcR5Nsw-y5sCu0,"R. Bananeiras, 396 - Sala 02 - Manaíra, João Pessoa",Manaíra Palace Residence,Lazer/Fitness,gym,academia,-7.108241,-34.8308069,"['gym', 'health', 'point_of_interest', 'establishment']"
"Casa Pepe – Restaurante, Pizzaria e Trattoria Italiana com Chef Italiano | João Pessoa – Manaíra",ChIJk3ArymPdrAcR6uLtkPGqkiU,"R. Bananeiras, 424 A - Manaíra, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.1084279,-34.8310479,"['bar', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Restaurante Casa Guireli Manaira,ChIJOy9bxXvdrAcRLReJWGzHeQE,"R. Eng. Luciano Vareda, 184 - Manaíra, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.1118004,-34.8306633,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Quintal Di Casa Restaurantes,ChIJlcgT85TdrAcRmgw8iah6v2Q,"Av. Umbuzeiro, 592 - Manaíra, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.1047584,-34.8326492,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Restaurante Maré Alta,ChIJ92mchBjdrAcR4Bm7erNb8uo,"Av. João Maurício, 305 - Manaíra, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.1081713,-34.82599510000001,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Adega Restaurante,ChIJzw1HVuTdrAcRpykuuxp3oz4,"Av. Ingá, 92 - Manaíra, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.104953399999999,-34.8303142,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Seu Pexera,ChIJy6QVoSrdrAcR-Znw_CeFmVw,"Av. Ingá, 499 - Manaíra, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.1073385,-34.8330348,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Cantina do Manoel,ChIJ65G9mq3drAcR9wzgT7msVik,"Av. Pombal, 771 - Manaíra, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.105948400000001,-34.8330944,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Oxe Manaíra Bar e Restaurante,ChIJ1Te1AHDdrAcR3e7oMfLMSyI,"Av. João Maurício, 325 - Tambaú, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.108207999999999,-34.826271,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Restaurante Araçá Cozinha Afetiva,ChIJAdG4lSzdrAcRkXCFA8RffBk,"Av. João Câncio da Silva, 168 - Manaíra, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.1116888,-34.8305401,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Manaira Grill - bar e restaurante,ChIJxQDyHwDdrAcR1VDecA7wZgg,"Av. Sen. Ruy Carneiro, 648 A - Manaíra, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.1123705,-34.8290748,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Ex-Touro Hamburgueria João Pessoa,ChIJl9hw9LbdrAcRlbsSHhJ5o1o,"Av. Esperança, 358 - Manaíra, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.109301299999999,-34.8303105,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Avenida Restaurante e self service,ChIJZSlxcz3drAcRvgAU0FRno4Q,"R. Dr. João Franca, 500b - Manaíra, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.109088,-34.8313415,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Restaurante San Sun Manaíra,ChIJI0Pi8uzdrAcRh18tfiUM0Io,"Av. Bananeiras, 353 - Manaíra, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.108210799999999,-34.8301548,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Tasquinha do Matinha,ChIJczoLJbbdrAcRK1eSzI-ZCUc,"Av. Ingá, 400 - Manaíra, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.1065494,-34.8325229,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Trattoria de Origem,ChIJ5V6WEZbdrAcRW_rXp-XB9js,"Av. Sapé, 501 - Manaíra, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.1099076,-34.83295080000001,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Salutte Restaurant,ChIJY-0ouSLdrAcR_JPBZXDc4Q0,"R. Geraldo Costa, 150 - Manaíra, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.108487900000001,-34.82748309999999,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Tartuferia Savitar,ChIJz8a2sEDdrAcRFrQeHCTWyEw,"R. Franca Filho, 96 - Manaíra, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.1077977,-34.8275608,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Limone & Capperi Trattoria - Restaurante Italiano em João Pessoa,ChIJpds7GV7drAcRIGdkfcf2sKY,"Av. Ingá, 284 - Manaíra, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.1059762,-34.831729,"['restaurant', 'food', 'point_of_interest', 'establishment']"
Tramice Ristorante - Tratoria Italiano,ChIJQzhaWb3drAcRvPdMohhPkmI,"Av. João Maurício, 287 - Manaíra, João Pessoa",Manaíra Palace Residence,Alimentação,restaurant,restaurante,-7.1084324,-34.8259716,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
