Nome_Estabelecimento,Place_ID_Estabelecimento,Endereço_Estabelecimento,Residência Parceira,Categoria,Busca_Tipo,Busca_Keyword,Latitude_Estabelecimento,Longitude_Estabelecimento,Tipos_API
DROGASIL FARMACIA,ChIJb17_IwDDrAcRmTC_v6GWD3o,"R. Helena Freire, 597 - Altiplano Cabo Branco, João Pessoa",Edifício Next Towers,Saúde,pharmacy,farmácia,-7.1333628,-34.82934,"['pharmacy', 'store', 'health', 'point_of_interest', 'establishment']"
Escola Estadual de Educação Infantil e Ensino Fundamental Padre Roma,ChIJXUGi0NHCrAcRR-PRWRGnw3c,"Conj. Altiplano Cabo Branco, João Pessoa",Edifício Next Towers,Educação,school,escola,-7.1344895,-34.8278792,"['primary_school', 'school', 'point_of_interest', 'establishment']"
Escola Espaço Infantil Girassol,ChIJw8FF94HDrAcR889NhnN88OY,"Rua: Helena Freire, 434 - Altiplano Cabo Branco, João Pessoa",Edifício Next Towers,Educação,school,escola,-7.134673599999999,-34.8287233,"['school', 'point_of_interest', 'establishment']"
"Squalis - Educação, Pesquisa e Tecnologia",ChIJL9vlOW3drAcRY9bWjRWFMjw,"R. Poe. Targino Teixeira, Sala 60 - Lot. Panoramica I e II, João Pessoa",Edifício Next Towers,Educação,university,universidade,-7.1302954,-34.8259638,"['university', 'point_of_interest', 'establishment']"
Mercado Jampa 24 Horas,ChIJC-t1wxXdrAcRf_PQa_9A4o4,"Av. Monsenhor Odilon Coutinho, 235 - Cabo Branco, João Pessoa",Edifício Next Towers,Comércio,supermarket,supermercado,-7.125070300000001,-34.8259366,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
Supermercado Litoral Altiplano,ChIJc4RV8GHDrAcRg0dBGiLUNVY,"R. Orlando di Cavalcanti Villar, 51 - Altiplano Cabo Branco, João Pessoa",Edifício Next Towers,Comércio,supermarket,supermercado,-7.1333138,-34.8280267,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
Mercadinho Cabo Branco,ChIJlamfPi3drAcRGlJZHD3f0rQ,"R. Desportista José Eduardo de Holanda, 1483 - Cabo Branco, João Pessoa",Edifício Next Towers,Comércio,supermarket,supermercado,-7.1255497,-34.8275771,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
Mercadinho Bom Jesus,ChIJ85q7F9PCrAcRWyw8B2GSumo,"R. Dr. Frutuoso Dantas, 1597 - Cabo Branco, João Pessoa",Edifício Next Towers,Comércio,supermarket,supermercado,-7.127979000000001,-34.8257474,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
PORTO DE FRUTOS **ORGÂNICO**,ChIJqdet35zDrAcRWi8Tu0tXSu4,"R. Abelardo da Silva Guimarães Barreto, 148 - Altiplano Cabo Branco, João Pessoa",Edifício Next Towers,Comércio,supermarket,supermercado,-7.130090800000001,-34.82853160000001,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
Academia Korpus Altiplano,ChIJQcfZ3ZfDrAcRksM3N5q_ErM,"R. Poe. Targino Teixeira, 251 - Lot. Panoramica I e II, João Pessoa",Edifício Next Towers,Lazer/Fitness,gym,academia,-7.1300964,-34.8260612,"['gym', 'health', 'point_of_interest', 'establishment']"
